C1 Movement Identifier 2, Count, C1 Movement Identifier 1, Count, C1 Movement Identifier 3, Count, C2 Movement Identifier 1, Count, C2 Movement Identifier 3, Count, C2 Movement Identifier 2, Count, 
QFA4423, 4, QFA4423, 6, QFA4423, 6, Cathy6186, 5, Cathy6186, 5, Cathy6186, 5, 
ANZ2981, 6, ANZ2981, 6, ANZ2981, 6, ANZ8634, 6, ANZ8634, 6, ANZ8634, 6, 
MAS2868, 4, MAS2868, 5, MAS2868, 5, ANZ8624, 1, ANZ8624, 1, ANZ8624, 1, 
QF5423, 1, QF5423, 1, QF5423, 1, TGW3598, 4, TGW3598, 4, TGW3598, 4, 
MAS2878, 1, MAS2878, 1, MAS2878, 1, QLK5987, 1, QLK5987, 1, QLK5987, 1, 
JST7328, 1, JST7328, 1, JST7328, 1, QLK7987, 1, QLK7987, 1, QLK7987, 1, 
QFA7308, 1, QFA7308, 1, QFA7308, 1, TGW5741, 1, TGW5741, 2, TGW5741, 2, 
ANZ2543, 1, ANZ2543, 1, ANZ2543, 1, TGW5841, 2, TGW5841, 2, TGW5841, 2, 
ANZ2542, 2, ANZ2542, 2, ANZ2542, 7, Tug Green, 2, Tug Green, 2, Tug Green, 2, 
Tug Red, 3, Tug Red, 5, Tug Red, 5, ANZ7654, 2, ANZ7654, 2, ANZ7654, 7, 
VOZ9286, 2, VOZ9286, 2, VOZ9286, 2, SIA7654, 1, SIA7654, 1, SIA7654, 1, 
VOZ9386, 1, VOZ9386, 1, VOZ9386, 1, QFA2753, 3, QFA2753, 3, QFA2753, 4, 
TGW8657, 4, TGW8657, 4, TGW8657, 6, QFA6253, 1, QFA6253, 1, QFA6253, 1, 
TGW3749, 2, TGW3749, 2, TGW3749, 4, , , VOZ9124, 2, VOZ9124, 2, 
SIA9503, 2, SIA9503, 2, SIA9503, 8, , , VOZ6436, 5, VOZ6436, 7, 
SIA8503, 1, SIA8503, 1, SIA8503, 1, , , VOZ6476, 1, VOZ6476, 1, 
QFA4136, 2, QFA4136, 2, QFA4136, 4, , , ANZ7362, 4, ANZ7362, 6, 
