C1 Movement Identifier 2, Count, C1 Movement Identifier 1, Count, C1 Movement Identifier 3, Count, C2 Movement Identifier 1, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 3, Count, 
QFA4423 QF5423, 3, QFA4423 QF5423, 3, QFA4423 QF5423, 3, CXA6186, 4, CXA6186, 4, , , 
ANZ2981, 4, ANZ2981, 4, ANZ2981, 4, ANZ8634 ANZ8624, 6, ANZ8634 ANZ8624, 7, , , 
MAS2868 QFA2868 MAS2878, 1, MAS2868 QFA2868 MAS2878, 1, MAS2868 QFA2868 MAS2878, 1, TGW3598, 4, TGW3598, 4, , , 
TUG RED, 1, TUG RED, 1, TUG RED, 1, QLK5987 QLK7987, , QLK5987 QLK7987, 1, , , 
JST7308 QFA7308, , JST7308 QFA7308, , JST7308 QFA7308, , TGW5741 TGW5841, 1, TGW5741 TGW5841, 2, , , 
VOZ986 ?, , VOZ986 ?, , VOZ986 ?, , TUG GREEN, 1, TUG GREEN, 1, , , 
TGW3749, 2, TGW3749, 2, TGW3749, 2, ANZ7645 ANZ7654, 1, ANZ7645 ANZ7654, 2, , , 
SQA9503 SQA8503, 1, SQA9503 SQA8503, 1, SQA9503 SQA8503, 1, QFA2753 QFA6253, 1, QFA2753 QFA6253, 2, , , 
QFA4136 QFA4139, 1, QFA4136 QFA4139, 1, QFA4136 QFA4139, 1, , , TGW3676 TGW3673, 2, , , 
CXA4358, 3, CXA4358, 3, CXA4358, 3, , , VOZ6436, 2, , , 
, , QFA8922 QFA8929, , QFA8922 QFA8929, , , , ANZ7362, 2, , , 
, , QFA6221 QFA6223, , QFA6221 QFA6223, , , , MAS4259, 3, , , 
, , ETD6221 QLK3874, , ETD6221 QLK3874, , , , TGW5741 TGW9641, 2, , , 
, , QFA2904, 2, QFA2904, 2, , , ANZ7654, 4, , , 
, , RXA8187 RXA8127, , RXA8187 RXA8127, , , , JST8931 JST9531, 2, , , 
, , QFA8929, 2, QFA8929, 2, , , TGW3676? TGW3476 TGW3676, 2, , , 
, , QFA4423 QFA3423, 1, QFA4423 QFA3423, 1, , , QFA2753 QFA2752, 1, , , 
, , QFA64?? QFA6431, , QFA64?? QFA6431, , , , , , , , 
, , MAS2868 ?, 1, MAS2868 ?, 1, , , , , , , 
, , UAE???? UAE7469, , UAE???? UAE7469, , , , , , , , 
, , RXA6804 , 2, RXA6804 , 2, , , , , , , 
, , UAE7292 UAE7893, , UAE7292 UAE7893, , , , , , , , 
, , QLK7166 QFA2166, , QLK7166 QFA2166, , , , , , , , 
, , ANZ9724, 1, ANZ9724, 1, , , , , , , 
, , JST7308 JST7309, 1, JST7308 JST7309, 1, , , , , , , 
, , TUG RED, 2, TUG RED, 2, , , , , , , 
, , , , ANZ2542 ANZ8542, 3, , , , , , , 
, , , , VOZ9286 VOZ9486, 3, , , , , , , 
, , , , QLK5696 QLK5636, 1, , , , , , , 
, , , , SIA9503, 7, , , , , , , 
, , , , QFA4136 TGW4136 QFA4536, 2, , , , , , , 
, , , , TGW3697 TGW3749 TGW3687, 5, , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
