C1 Movement Identifier 2, Count, C1 Movement Identifier 3, Count, C1 Movement Identifier 1, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 1, Count, C2 Movement Identifier 3, Count, 
, , , , , , , , , , cpa5476, 2, 
, , , , , , , , , , voz5436, , 
, , , , , , , , , , voz6436, 1, 
, , , , , , , , , , , , 
qfa4423, 2, qfa4423, 2, qfa4423, 2, , , , , , , 
anz2981, 6, anz2981, 6, anz2981, 6, , , , , , , 
mas2868, 2, mas2868, 2, mas2868, 2, , , , , , , 
qfa2868, , qfa2868, , qfa2868, , , , , , , , 
qfa4423, , qfa4423, , qfa4423, , , , , , , , 
qfa5423, , qfa5423, , qfa5423, , , , , , , , 
mas2878, , mas2878, , mas2878, , , , , , , , 
jst7328, , jst7328, , jst7328, , , , , , , , 
qfa7308, , qfa7308, , qfa7308, , , , , , , , 
anz254, 2, anz254, 2, anz254, 2, , , , , , , 
tug red, 1, tug red, 1, tug red, 1, , , , , , , 
voz9286, 1, voz9286, 1, voz9286, 1, , , , , , , 
voz9386, , voz9386, , voz9386, , , , , , , , 
tgw8657, 3, tgw8657, 3, tgw8657, 3, , , , , , , 
tgw3749, 2, tgw3749, 2, tgw3749, 2, , , , , , , 
sia9503, 1, sia9503, 1, sia9503, 1, , , , , , , 
sia8503, , sia8503, , sia8503, , , , , , , , 
qfa4136, 1, qfa4136, 1, qfa4136, 1, , , , , , , 
qfa4139, , qfa4139, , qfa4139, , , , , , , , 
cpa4358, 5, cpa4358, 5, cpa4358, 5, , , , , , , 
, , anz2542, 2, anz2542, 2, , , , , , , 
, , voz9286, 3, voz9286, 3, , , , , , , 
, , voz9486, , voz9486, , , , , , , , 
, , ql5696, 1, ql5696, 1, , , , , , , 
, , tgw3749, 2, tgw3749, 2, , , , , , , 
, , tgw8657, 2, tgw8657, 2, , , , , , , 
, , qlk5372, 1, qlk5372, 1, , , , , , , 
, , qlk8372, , qlk8372, , , , , , , , 
, , sia9503, 2, sia9503, 2, , , , , , , 
, , anz2542, 1, anz2542, 1, , , , , , , 
, , qfa4136, 1, qfa4136, 1, , , , , , , 
, , tgw4136, , tgw4136, , , , , , , , 
, , tgw3697, 2, tgw3697, 2, , , , , , , 
, , tgw3749, 1, tgw3749, 1, , , , , , , 
, , qfa4136, , qfa4136, , , , , , , , 
, , qfa4536, , qfa4536, , , , , , , , 
, , sia4573, 1, sia4573, 1, , , , , , , 
, , sia4579, , sia4579, , , , , , , , 
, , sia9503, 1, sia9503, 1, , , , , , , 
, , tgw3697, 1, tgw3697, 1, , , , , , , 
, , tgw3687, , tgw3687, , , , , , , , 
, , sia9503, 2, sia9503, 2, , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , qfa8929, 4, , , , , , , 
, , , , qfa6221, , , , , , , , 
, , , , qfa6223, , , , , , , , 
, , , , etd6534, , , , , , , , 
, , , , qlk3874, , , , , , , , 
, , , , qfa2904, 2, , , , , , , 
, , , , rex8127, 1, , , , , , , 
, , , , qfa4423, 1, , , , , , , 
, , , , qfa3423, , , , , , , , 
, , , , qfa6431, 1, , , , , , , 
, , , , mas2868, 1, , , , , , , 
, , , , anz2868, , , , , , , , 
, , , , uae7469, 1, , , , , , , 
, , , , rex6804, 2, , , , , , , 
, , , , uae7292, , , , , , , , 
, , , , uae7892, , , , , , , , 
, , , , qlk7156, , , , , , , , 
, , , , qfa2166, , , , , , , , 
, , , , qlk2166, , , , , , , , 
, , , , anz9724, 2, tgw3676, 1, tgw3676, 1, tgw3676, 1, 
, , , , jst7308, 1, tgw3673, , tgw3673, , tgw3673, , 
, , , , jst7309, , voz6436, 2, voz6436, 2, voz6436, 2, 
, , , , tug red, 2, anz7362, 2, anz7362, 2, anz7362, 2, 
, , , , , , mas4259, 4, mas4259, 4, mas4259, 4, 
, , , , , , tgw5741, 1, tgw5741, 1, tgw5741, 1, 
, , , , , , tgw9641, , tgw9641, , tgw9641, , 
, , , , , , anz7654, 4, anz7654, 4, anz7654, 4, 
, , , , , , jst8931, 1, jst8931, 1, jst8931, 1, 
, , , , , , jst9531, , jst9531, , jst9531, , 
, , , , , , tgw3676, 1, tgw3676, 1, tgw3676, 1, 
, , , , , , tgw3476, , tgw3476, , tgw3476, , 
, , , , , , qfa2753, , qfa2753, , qfa2753, , 
, , , , , , qfa2752, , qfa2752, , qfa2752, , 
, , , , , , , , cpa6186, 2, cpa6186, 2, 
, , , , , , , , anz8634, 3, anz8634, 3, 
, , , , , , , , anz8624, , anz8624, , 
, , , , , , , , tgw3598, 2, tgw3598, 2, 
, , , , , , , , cpa6186, 1, cpa6186, 1, 
, , , , , , , , tgw3598, 1, tgw3598, 1, 
, , , , , , , , qlk5987, , qlk5987, , 
, , , , , , , , qlk7987, , qlk7987, , 
, , , , , , , , tgw5741, 1, tgw5741, 1, 
, , , , , , , , tgw5841, , tgw5841, , 
, , , , , , , , anz3684, 2, anz3684, 2, 
, , , , , , , , tug green, , tug green, , 
, , , , , , , , anz7654, 1, anz7654, 1, 
, , , , , , , , sia7654, , sia7654, , 
, , , , , , , , qfa2753, 2, qfa2753, 2, 
, , , , , , , , qfa6253, , qfa6253, , 
, , , , , , , , , , voz9124, 1, 
, , , , , , , , , , voz9184, , 
, , , , , , , , , , voz6436, 1, 
, , , , , , , , , , voz6474, , 
, , , , , , , , , , tgw5741, 1, 
, , , , , , , , , , anz7362, 1, 
, , , , , , , , , , tgw7362, , 
, , , , , , , , , , cpa5476, 2, 
, , , , , , , , , , tgw3676, 1, 
, , , , , , , , , , anz7362, 1, 
, , , , , , , , , , qfa9427, 1, 
, , , , , , , , , , qfa5427, , 
