C1 Movement Identifier 3, Count, C1 Movement Identifier 2, Count, C1 Movement Identifier 1, Count, C2 Movement Identifier 3, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 1, Count, 
NZ2542, 2, NZ2542, 2, NZ2542, 2, V9124, 1, V9124, 1, V9124, 1, 
V9286, 3, V9286, 3, V9286, 3, V9184, , V9184, , V9184, , 
V9486, , V9486, , V9486, , V6436, 1, V6436, 1, V6436, 1, 
Q5696, 1, Q5696, 1, Q5696, 1, V6474, , V6474, , V6474, , 
Q5636, , Q5636, , Q5636, , GC5741, 1, GC5741, 1, GC5741, 1, 
GC3749, 3, GC3749, 3, GC3749, 3, NZ7362, 3, NZ7362, 5, NZ7362, 5, 
GC8657, 1, GC8657, 1, GC8657, 1, GC7362, , GC7362, , GC7362, , 
Q5372, 1, Q5372, 1, Q5372, 1, C5476, 5, C5476, 5, C5476, 5, 
Q8372, , Q8372, , Q8372, , GC3676, , GC3676, 2, GC3676, 2, 
S9503, 7, S9503, 9, S9503, 9, Q9427, 1, Q9427, 1, Q9427, 1, 
NZ2542, 1, NZ2542, 1, NZ2542, 1, Q5427, , Q5427, , Q5427, , 
Q4136, 3, Q4136, 3, Q4136, 3, V6436, 2, V6436, 5, V6436, 5, 
GC3697, 4, GC3697, 4, GC3697, 4, V6451, , V6451, , V6451, , 
Q4536, , Q4536, , Q4536, , , , G3673, , G3673, , 
S4573, 1, S4573, 1, S4573, 1, , , M4259, 3, M4259, 3, 
S4579, , S4579, , S4579, , , , GC5741, 1, GC5741, 1, 
, , Q4423, 3, Q4423, 3, , , GC9641, , GC9641, , 
, , NZ2981, 4, NZ2981, 4, , , NZ7654, 4, NZ7654, 4, 
, , TUG, 2, TUG, 2, , , J8931, 1, J8931, 1, 
, , M2868, 2, M2868, 2, , , J9531, , J9531, , 
, , Q2868, , Q2868, , , , GC3676, 1, GC3676, 1, 
, , Q5423, , Q5423, , , , GC3476, , GC3476, , 
, , M2878, , M2878, , , , Q2753, , Q2753, 3, 
, , J7308, , J7308, , , , Q2752, , Q2752, , 
, , Q7308, , Q7308, , , , , , C6186, 2, 
, , NZ2542, 1, NZ2542, 1, , , , , NZ8634, 4, 
, , NZ2981, 1, NZ2981, 1, , , , , NZ8624, , 
, , TUG RED, 1, TUG RED, 3, , , , , TUG, , 
, , V9286, 1, V9286, 1, , , , , GC3598, 4, 
, , V9386, , V9386, , , , , , C6186, 1, 
, , GC8657, 2, GC8657, 2, , , , , Q5987, , 
, , GC3749, 2, GC3749, 2, , , , , Q7987, , 
, , S8503, , S8503, , , , , , GC5741, 1, 
, , Q4136, 1, Q4136, 1, , , , , GC5841, , 
, , Q4139, , Q4139, , , , , , TUG GREEN, 1, 
, , C4358, 2, C4358, 2, , , , , NZ7654, 1, 
, , , , Q8929, 4, , , , , S7654, , 
, , , , Q6221, 1, , , , , Q6253, , 
, , , , E3874, , , , , , , , 
, , , , Q3874, , , , , , , , 
, , , , Q2904, 2, , , , , , , 
, , , , R8187, 1, , , , , , , 
, , , , Q4423, 1, , , , , , , 
, , , , Q3423, , , , , , , , 
, , , , Q6431, 1, , , , , , , 
, , , , M2868, 1, , , , , , , 
, , , , E7469, 1, , , , , , , 
, , , , R6804, 2, , , , , , , 
, , , , E7292, , , , , , , , 
, , , , E7892, , , , , , , , 
, , , , Q7166, , , , , , , , 
, , , , Q2166, 1, , , , , , , 
, , , , NZ9724, 2, , , , , , , 
, , , , J7308, , , , , , , , 
, , , , J7309, , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
