C1 Movement Identifier 2, Count, C1 Movement Identifier 3, Count, C1 Movement Identifier 1, Count, C2 Movement Identifier 1, Count, C2 Movement Identifier 3, Count, C2 Movement Identifier 2, Count, 
QF7308, , QF7308, , QFA7308, , CPA6186, 4, CPA6186, 4, CPA6186, 4, 
JST7308, , JST7308, , JST7308, 2, ANZ8634, 5, ANZ8634, 5, ANZ8634, 5, 
QF4423, 1, QF4423, 1, QFA4423, 3, ANZ8624, , ANZ8624, , ANZ8624, , 
QF5423, , QF5423, , QFA5423, , TGO3598, 4, TGO3598, 4, TGO3598, 4, 
ANZ2981, 4, ANZ2981, 4, ANZ2981, 4, QLK5987, , QLK5987, , QLK5987, , 
MAS2868, 4, MAS2868, 4, MAS2868, 6, QLK7987, , QLK7987, , QLK7987, , 
MAS2878, , MAS2878, , MAS2878, , TGO5741, 1, TGO5741, 3, TGO5741, 5, 
ANZ2542, 2, ANZ2542, 7, ANZ2542, 7, TGO5841, , TGO5841, , TGO5841, , 
TUG RED, 2, TUG RED, 2, TUG RED, 5, TUG GREEN, 1, TUG GREEN, 1, TUG GREEN, 1, 
VOZ9286, 1, VOZ9286, 5, VOZ9286, 5, ANZ7654, 1, ANZ7654, 1, ANZ7654, 6, 
VOZ9386, , VOZ9386, , VOZ9386, , SIA7654, , SIA7654, , SIA7654, , 
TGO8657, 3, TGO8657, 5, TGO8657, 5, QFA2753, 2, QFA2753, 2, QFA2753, 2, 
TGO3749, 2, TGO3749, 6, TGO3749, 6, QFA6253, , QFA6253, , QFA6253, , 
SIA9503, 1, SIA9503, 7, SIA9503, 7, , , VOZ9124, 2, VOZ9124, 2, 
SIA8503, , SIA8503, , SIA8503, , , , VOZ6436, 4, VOZ6436, 5, 
QFA4136, 1, QFA4136, 4, QFA4136, 4, , , VOZ6474, , VOZ6474, , 
QF4139, , QF4139, , QFA4139, , , , VOZ6476, , VOZ6476, 2, 
CPA4358, 4, CPA4358, 4, CPA4358, 4, , , VOZ6451, , VOZ6451, , 
, , VOZ9486, , VOZ9486, , , , ANZ7362, 3, ANZ7362, 6, 
, , QLK5696, 1, QLK5696, 1, , , TGO7362, , TGO7362, , 
, , QLK5636, , QLK5636, , , , CPA5476, 5, CPA5476, 5, 
, , TGO4739, , TGO4739, , , , TGO3676, 1, TGO3676, 5, 
, , QLK5372, 1, QLK5372, 1, , , QFA9427, 1, QFA9427, 1, 
, , QLK8372, , QLK8372, , , , QFA5427, , QFA5427, , 
, , TGO4736, , TGO4736, , , , , , TGO3673, , 
, , QF4536, , QFA4536, , , , , , MAS4252, , 
, , TGO3697, 5, TGO3697, 5, , , , , MAS4259, 3, 
, , SIA4573, 1, SIA4573, 1, , , , , TGO9641, , 
, , SIA3571, , SIA3571, , , , , , JST8931, 1, 
, , , , QFA8921, 2, , , , , JST5931, , 
, , , , QFA8929, 1, , , , , TGO3476, , 
, , , , QFA6221, , , , , , QFA2753, , 
, , , , QFA6223, , , , , , QFA2752, , 
, , , , ETD7834, 1, , , , , , , 
, , , , QFA2904, 2, , , , , , , 
, , , , RXA8187, , , , , , , , 
, , , , RXA8127, , , , , , , , 
, , , , RXA8929, , , , , , , , 
, , , , QFA3423, , , , , , , , 
, , , , QFA6431, 1, , , , , , , 
, , , , ANZ2868, , , , , , , , 
, , , , UAE4969, , , , , , , , 
, , , , UAE3469, , , , , , , , 
, , , , RXA6804, 2, , , , , , , 
, , , , UAE7292, , , , , , , , 
, , , , UAE7892, , , , , , , , 
, , , , QFA7166, , , , , , , , 
, , , , QFA2166, , , , , , , , 
, , , , QLK2166, , , , , , , , 
, , , , ANZ9724, 2, , , , , , , 
, , , , JST7309, , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
