C1 Movement Identifier 1, Count, C1 Movement Identifier 3, Count, C1 Movement Identifier 2, Count, C2 Movement Identifier 3, Count, C2 Movement Identifier 1, Count, C2 Movement Identifier 2, Count, 
qf8929, 2, qf8929, 2, qf8929, 2, voz9124, 1, voz9124, 1, voz9124, 1, 
qf6221, , qf6221, , qf6221, , voz5476, , voz5476, , voz5476, , 
et7462, , et7462, , et7462, , gc5741, 1, gc5741, 1, gc5741, 1, 
qf2904, 1, qf2904, 1, qf2904, 1, nz7362, 1, nz7362, 1, nz7362, 1, 
qf8187, , qf8187, , qf8187, , ca5476, 2, ca5476, 2, ca5476, 2, 
qf8929, 2, qf8929, 2, qf8929, 2, gc3676, 1, gc3676, 1, gc3676, 1, 
qf4423, 1, qf4423, 1, qf4423, 1, nz7362, 1, nz7362, 1, nz7362, 1, 
qf6431, 1, qf6431, 1, qf6431, 1, qf9427, 1, qf9427, 1, qf9427, 1, 
ma2868, 1, ma2868, 1, ma2868, 1, voz5476, , voz5476, , voz5476, , 
em7469, 1, em7469, 1, em7469, 1, ca5476, 2, ca5476, 2, ca5476, 2, 
rx6804, 2, rx6804, 2, rx6804, 2, voz5436, , voz5436, , voz5436, , 
em7292, , em7292, , em7292, , , , ca6186, 2, ca6186, 2, 
qf2166, 2, qf2166, 2, qf2166, 2, , , nz8634, 1, nz8634, 1, 
nz9724, 2, nz9724, 2, nz9724, 2, , , nz8634, 1, nz8634, 1, 
js7308, 1, js7308, 1, js7308, 1, , , gc3598, 2, gc3598, 2, 
tug, 2, tug, 2, tug red, 2, , , ca5186, 1, ca5186, 1, 
, , nz2542, 2, nz2542, 2, , , gc3598, 1, gc3598, 1, 
, , voz9286, 3, voz9286, 3, , , qf5967, , qf5967, , 
, , qf5696, , qf5696, , , , gc6741, , gc6741, , 
, , gc3749, 2, gc3749, 2, , , nz8634, 1, nz8634, 1, 
, , gc8657, 1, gc8657, 1, , , tug green, 1, tug green, 1, 
, , qf6372, 1, qf6372, 1, , , nz7654, 1, nz7654, 1, 
, , sia7493, , sia7493, , , , qf2753, 2, qf2753, 2, 
, , nz2542, 1, nz2542, 1, , , , , gc3676, 1, 
, , qf4136, , qf4136, , , , , , voz5436, , 
, , gc3697, 2, gc3697, 2, , , , , nz7362, 2, 
, , gc3749, 1, gc3749, 1, , , , , mas4259, 4, 
, , qf4136, , qf4136, , , , , , gc6741, , 
, , sia4573, 1, sia4573, 1, , , , , nz7654, 2, 
, , sia9503, 1, sia9503, 1, , , , , nz7654, 1, 
, , gc3697, 1, gc3697, 1, , , , , js8931, 1, 
, , sia9503, 2, sia9503, 2, , , , , gc3676, 1, 
, , , , qf4423, 2, , , , , qf2753, , 
, , , , nz2981, 2, , , , , , , 
, , , , nz2981, 1, , , , , , , 
, , , , mas2868, 1, , , , , , , 
, , , , qf4423, , , , , , , , 
, , , , mas2868, , , , , , , , 
, , , , js7308, , , , , , , , 
, , , , nz2542, 2, , , , , , , 
, , , , nz2981, 1, , , , , , , 
, , , , tug red, 1, , , , , , , 
, , , , voz9286, 1, , , , , , , 
, , , , gc8657, 2, , , , , , , 
, , , , gc3749, 2, , , , , , , 
, , , , sia9503, 1, , , , , , , 
, , , , qf4136, 1, , , , , , , 
, , , , ca4358, 3, , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
