C1 Movement Identifier 1, Count, C1 Movement Identifier 2, Count, C1 Movement Identifier 3, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 3, Count, C2 Movement Identifier 1, Count, 
q8929, 5, q8929, 5, q8929, 5, gocat7686, 2, gocat7686, 2, gocat7686, 2, 
q6221, 1, q6221, 1, q6221, 1, gocat7386, 1, gocat7386, 1, gocat7386, 1, 
q6223, 1, q6223, 1, q6223, 1, vel6466, 3, vel6466, 3, vel6466, 3, 
eti, 1, eti, 1, eti, 1, nz7362, 3, nz7362, 3, nz7362, 3, 
q3874, 1, q3874, 1, q3874, 1, mal4259, 5, mal4259, 5, mal4259, 5, 
q2904, 3, q2904, 3, q2904, 3, gocat5741, 2, gocat5741, 2, gocat5741, 2, 
8127, 2, 8127, 2, 8127, 2, gocat9641, 1, gocat9641, 1, gocat9641, 1, 
q4423, 3, q4423, 5, q4423, 5, nz7654, 6, nz7654, 6, nz7654, 6, 
q6431, 1, q6431, 1, q6431, 1, jetstar8931, 3, jetstar8931, 3, jetstar8931, 3, 
m2868, 3, m2868, 5, m2868, 5, gocat3676, 3, gocat3676, 3, gocat3676, 3, 
em7469, 1, em7469, 1, em7469, 1, q2753, 1, q2753, 1, q2753, 1, 
em7292, 1, em7292, 1, em7292, 1, q2752, 1, q2752, 1, q2752, 1, 
q2166, 1, q2166, 1, q2166, 1, , , vel9124, 3, vel9124, 3, 
nz27, 1, nz27, 1, nz27, 1, , , vel6436, 2, vel6436, 2, 
jetstar7309, 3, jetstar7309, 3, jetstar7309, 3, , , vel6474, 1, vel6474, 1, 
tug red, 2, tug red, 4, tug red, 4, , , gocat5741, 1, gocat5741, 1, 
, , nz2981, 5, nz2981, 5, , , nz7362, 2, nz7362, 2, 
, , m2888, 1, m2888, 1, , , gocat7362, 1, gocat7362, 1, 
, , q5473, 1, q5473, 1, , , cafe5476, 5, cafe5476, 5, 
, , m2878, 1, m2878, 1, , , gocat7376, 1, gocat7376, 1, 
, , jetstar7308, 1, jetstar7308, 1, , , q9427, 3, q9427, 3, 
, , q7308, 1, q7308, 1, , , q5427, 1, q5427, 1, 
, , nz2542, 1, nz2542, 1, , , vel6471, 2, vel6471, 2, 
, , nz2981, 2, nz2981, 2, , , vel6436, 3, vel6436, 3, 
, , vel9286, 2, vel9286, 6, , , , , cafe6186, 5, 
, , vel9386, 1, vel9386, 1, , , , , nz8634, 5, 
, , gocat8657, 4, gocat8657, 4, , , , , gocat3598, 6, 
, , gocat3749, 3, gocat3749, 3, , , , , gocat5841, 3, 
, , sing8503, 3, sing8503, 3, , , , , nz7654, 2, 
, , q4136, 2, q4136, 2, , , , , sing7654, 1, 
, , q4139, 1, q4139, 1, , , , , q2753, 2, 
, , cafe4358, 4, cafe4358, 4, , , , , q6253, 1, 
, , , , nz2542, 5, , , , , , , 
, , , , vel9486, 1, , , , , , , 
, , , , q5636, 3, , , , , , , 
, , , , gocat3749, 4, , , , , , , 
, , , , gocat8657, 1, , , , , , , 
, , , , qlink?5372, 2, , , , , , , 
, , , , sing9503, 3, , , , , , , 
, , , , q4136, 2, , , , , , , 
, , , , gocat3697, 4, , , , , , , 
, , , , sing4573, 4, , , , , , , 
, , , , sing9503, 3, , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
