C1 Movement Identifier 2, Count, C1 Movement Identifier 1, Count, C1 Movement Identifier 3, Count, C2 Movement Identifier 3, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 1, Count, 
QA4423, 2, QA4423, 2, QA4423, 2, VEL9124, 1, VEL9124, 1, VEL9124, 1, 
NZ2981, 4, NZ2981, 4, NZ2981, 4, VEL9184, , VEL9184, , VEL9184, , 
MAL2868, 2, MAL2868, 2, MAL2868, 2, VEL6436, 2, VEL6436, 2, VEL6436, 2, 
QA2868, , QA2868, , QA2868, , GOCAT5741, 1, GOCAT5741, 1, GOCAT5741, 1, 
QA4423, , QA4423, , QA4423, , NZ7362, 1, NZ7362, 1, NZ7362, 1, 
QA5423, , QA5423, , QA5423, , GOCAT7362, , GOCAT7362, , GOCAT7362, , 
MAL2878, , MAL2878, , MAL2878, , CAFE5476 B3, 5, CAFE5476 B3, 5, CAFE5476 B3, 5, 
JS7308, , JS7308, , JS7308, , GOCAT4636, 1, GOCAT4636, 1, GOCAT4636, 1, 
QA7308, , QA7308, , QA7308, , NZ7362, , NZ7362, , NZ7362, , 
NZ2542, 2, NZ2542, 2, NZ2542, 2, QA9427, 1, QA9427, 1, QA9427, 1, 
NZ2981, 1, NZ2981, 1, NZ2981, 1, QA5427, , QA5427, , QA5427, , 
TUGRED, 1, TUGRED, 1, TUGRED, 1, VEL6436, 3, VEL6436, 5, VEL6436, 5, 
VEL9286, 2, VEL9286, 2, VEL9286, 2, VEL6451, , VEL6451, , VEL6451, , 
GOCAT3749, 2, GOCAT3749, 2, GOCAT3749, 2, , , GOCAT3676 A5, 1, GOCAT3676, 1, 
GOCAT8657, 2, GOCAT8657, 2, GOCAT8657, 2, , , GOCAT3675, , GOCAT3675, , 
SING9503, 1, SING9503, 1, SING9503, 1, , , NZ7362, 2, NZ7362, 2, 
SING8503, , SING8503, , SING8503, , , , MAL4259, 4, MAL4259, 4, 
QA4136, 1, QA4136, 1, QA4136, 1, , , GOCAT5741, 1, GOCAT5741, 1, 
QA4139, , QA4139, , QA4139, , , , GOAT9641, , GOAT9641, , 
CAFE4358, 3, CAFE4358, 3, CAFE4358, 3, , , NZ7654, 4, NZ7654, 4, 
, , QA8929, 2, QA8929, 2, , , JS8931 B4, 2, JS8931 B4, 2, 
, , QA6221, , QA6221, , , , GOAT3676, 1, GOAT3676, 1, 
, , QA6223, , QA6223, , , , QA2753, 1, QA2753, 1, 
, , ETI, , ETI, , , , QA2752, , QA2752, , 
, , QA7874, , QA7874, , , , , , CAFE6186, 2, 
, , QA2904, 2, QA2904, 2, , , , , NZ8634, 5, 
, , REX8127, 1, REX8127, 1, , , , , NZ8624, , 
, , QA8929, 2, QA8929, 2, , , , , GOCAT3598, 4, 
, , QA4423, 1, QA4423, 1, , , , , CAFE6186, 1, 
, , QA3423, , QA3423, , , , , , QA7287, , 
, , QA6431, 1, QA6431, 1, , , , , GOAT5841, 3, 
