C1 Movement Identifier 2, Count, C1 Movement Identifier 1, Count, C1 Movement Identifier 3, Count, C2 Movement Identifier 3, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 1, Count, 
, , MAL2868, 2, MAL2868, 2, , , , , TUGGREEN B8, , 
, , EM7469, 1, EM7469, 1, , , , , NZ7654, 1, 
, , REX6804, 2, REX6804, 2, , , , , SING7654, , 
, , EM7292, , EM7292, , , , , , QA2753, 2, 
, , EM7892, , EM7892, , , , , , QA6253, , 
, , QA7166, , QA7166, , , , , , , , 
, , QA2166, 1, QA2166, 1, , , , , , , 
, , NZ9724, 2, NZ9724, 2, , , , , , , 
, , JS7308, 1, JS7308, 1, , , , , , , 
, , JS7309, , JS7309, , , , , , , , 
, , TUGRED, 1, TUGRED, 1, , , , , , , 
, , , , NZ2542, 2, , , , , , , 
, , , , VEL9286, 3, , , , , , , 
, , , , VEL9486, , , , , , , , 
, , , , QA5696, 1, , , , , , , 
, , , , QA5636, , , , , , , , 
, , , , GOCAT5749, 2, , , , , , , 
, , , , COGAT3657, , , , , , , , 
, , , , GOCAT8657, , , , , , , , 
, , , , QA5372, 1, , , , , , , 
, , , , QA8372, , , , , , , , 
, , , , SING9503, 4, , , , , , , 
, , , , NZ2542, 1, , , , , , , 
, , , , QA4136, 2, , , , , , , 
, , , , GOCAT4136, , , , , , , , 
, , , , GOCAT3697, 5, , , , , , , 
, , , , GOCAT3749, 1, , , , , , , 
, , , , QA3536, , , , , , , , 
, , , , SING4573, 1, , , , , , , 
, , , , SING4579, , , , , , , , 
, , , , GOCAT3687, , , , , , , , 
, , , , SING9503, 2, , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
