C1 Movement Identifier 1, Count, C1 Movement Identifier 3, Count, C1 Movement Identifier 2, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 3, Count, C2 Movement Identifier 1, Count, 
QA8929, 5, QA8929, 5, QA8929, 5, GOCAT3676, 1, GOCAT3676, 1, GOCAT3676, 1, 
QA6221, 1, QA6221, 1, QA6221, 1, GOCAT6676, , GOCAT6676, , GOCAT6676, , 
QA6223, , QA6223, , QA6223, , VEL6436, 2, VEL6436, 2, VEL6436, 2, 
ET, , ET, , ET, , NZ7362, 2, NZ7362, 2, NZ7362, 2, 
QL7574, , QL7574, , QL7574, , MAL4259, 4, MAL4259, 4, MAL4259, 4, 
QA2904, 3, QA2904, 3, QA2904, 3, GOCAT5741, 1, GOCAT5741, 1, GOCAT5741, 1, 
REX8127, , REX8127, , REX8127, , GOCAT9651, , GOCAT9651, , GOCAT9651, , 
QA2983, , QA2983, , QA2983, , NZ7654, 3, NZ7654, 3, NZ7654, 3, 
QA3423, , QA3423, , QA3423, , JS8931, 2, JS8931, 2, JS8931, 2, 
QA6431, 1, QA6431, 1, QA6431, 1, GOCAT3676, 1, GOCAT3676, 1, GOCAT3676, 1, 
mal2868, 1, mal2868, 1, mal2868, 1, GOCAT3476, , GOCAT3476, , GOCAT3476, , 
NZ2868, , NZ2868, , NZ2868, , QA2753, 1, QA2753, , QA2753, , 
EM7469, , EM7469, , EM7469, , QA2752, , QA2752, , QA2752, , 
REX6804, 2, REX6804, 2, REX6804, 2, , , VEL9124, 2, VEL9124, 2, 
EM7292, , EM7292, , EM7292, , , , VEL6474, 1, VEL6474, 1, 
EM7892, , EM7892, , EM7892, , , , VEL6436, , VEL6436, , 
QA2166, 3, QA2166, 3, QA2166, 3, , , GOCAT5731, 1, GOCAT5731, 1, 
NZ9724, 2, NZ9724, 2, NZ9724, 2, , , NZ7362, 1, NZ7362, 1, 
JS7309, 2, JS7309, 2, JS7309, 2, , , CAFE5476, 6, CAFE5476, 6, 
TUGRED, , TUGRED, , TUGRED, , , , GOCAT3676, , GOCAT3676, , 
, , NZ2542, 1, NZ2542, 1, , , NZ7362, 1, NZ7362, 1, 
, , VEL8596, , VEL8596, , , , QA9427, , QA9427, , 
, , VEL9286, 3, VEL9286, 3, , , QA5427, , QA5427, , 
, , QL5696, 2, QL5696, 2, , , VEL6436, 3, VEL6436, 3, 
, , 3749, 1, 3749, 1, , , , , CAFE6186, 4, 
, , GOcat8657, , GOcat8657, , , , , , NZ8634, 5, 
, , sing9503, 3, sing9503, 3, , , , , NZ8624, , 
, , NZ2542, 2, NZ2542, 2, , , , , GOCAT3598, 4, 
, , QA4136, 3, QA4136, 3, , , , , GOCAT5741, 1, 
, , GOcat3697, 4, GOcat3697, 4, , , , , GOCAT5841, , 
, , GOcat3797, , GOcat3797, , , , , , NZ7654, 3, 
, , GOcat3746, , GOcat3746, , , , , , QA2753, 1, 
, , QA4536, 1, QA4536, 1, , , , , QA6253, , 
, , SING4573, 2, SING4573, 2, , , , , , , 
, , SING4579, , SING4579, , , , , , , , 
, , SING9507, , SING9507, , , , , , , , 
, , GOcat3687, , GOcat3687, , , , , , , , 
, , SING9503, 3, SING9503, 3, , , , , , , 
, , , , QA4423, 2, , , , , , , 
, , , , NZ2981 , 4, , , , , , , 
, , , , MAL2868, 2, , , , , , , 
, , , , QA2868, , , , , , , , 
, , , , QA4423, , , , , , , , 
, , , , QA5423, , , , , , , , 
, , , , MAL2878, , , , , , , , 
, , , , JS, , , , , , , , 
, , , , QA7308, , , , , , , , 
, , , , NZ2542, 3, , , , , , , 
, , , , NZ2981, 1, , , , , , , 
, , , , TUGRED, 1, , , , , , , 
, , , , VEL9286, 1, , , , , , , 
, , , , VEL9386, , , , , , , , 
, , , , GOCAT8657, 3, , , , , , , 
, , , , GOCAT3749, 1, , , , , , , 
, , , , SING9503, 1, , , , , , , 
, , , , SING8503, , , , , , , , 
, , , , QA4139, 2, , , , , , , 
, , , , QA4136, , , , , , , , 
, , , , CAFE4358, 3, , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
