C1 Movement Identifier 2, Count, C1 Movement Identifier 1, Count, C1 Movement Identifier 3, Count, C2 Movement Identifier 3, Count, C2 Movement Identifier 1, Count, C2 Movement Identifier 2, Count, 
Q4423, 2, Q4423, 2, Q4423, 2, V9124, 1, V9124, 1, V9124, 1, 
N2981, 3, N2981, 3, N2981, 3, V6436, 4, V6436, 4, V6436, 4, 
M2868, 2, M2868, 2, M2868, 2, Ca5741, 1, Ca5741, 1, Ca5741, 1, 
Q5423, 1, Q5423, 1, Q5423, 1, N7362, 3, N7362, 3, N7362, 3, 
J7308, , J7308, , J7308, , C5476, 2, C5476, 2, C5476, 2, 
N2542, 2, N2542, 2, N2542, 2, Ca3676, , Ca3676, , Ca3676, , 
N2981, 1, N2981, 1, N2981, 1, Q9427, 1, Q9427, 1, Q9427, 1, 
Tug, , Tug, , Tug, , V6436, , V6436, , V6436, , 
V9286, , V9286, , V9286, , CATH5476, 1, CATH5476, 1, CATH5476, 1, 
C8657, 3, C8657, 3, C8657, 3, , , CATH6186, 2, CATH6186, 2, 
C8739, 2, C8739, 2, C8739, 2, , , N8634, 1, N8634, 1, 
S9503, 2, S9503, 2, S9503, 2, , , Tug, 1, Tug, 1, 
Q4156, , Q4156, , Q4156, , , , Cart3598, 1, Cart3598, 1, 
CA4358, 2, CA4358, 2, CA4358, 2, , , CATH6186, 1, CATH6186, 1, 
, , Q8929, 3, Q8929, 3, , , Cart3598, 1, Cart3598, 1, 
, , Q6221, , Q6221, , , , Q5987, , Q5987, , 
, , E3874, , E3874, , , , Cart5741, , Cart5741, , 
, , Q3904, , Q3904, , , , N8634, 1, N8634, 1, 
, , X8187, 1, X8187, 1, , , Tug Green, 1, Tug Green, 1, 
, , Q4423, , Q4423, , , , N7654, , N7654, , 
, , Q6431, 1, Q6431, 1, , , Q2753, 1, Q2753, 1, 
, , M2868, 1, M2868, 1, , , , , Cat3676, , 
, , E7469, 1, E7469, 1, , , , , V6436, 2, 
, , X6804, 1, X6804, 1, , , , , N7362, 1, 
, , E7292, , E7292, , , , , , M4259, 3, 
, , Q7166, , Q7166, , , , , , Cat5741, , 
, , N9724, 2, N9724, 2, , , , , N7654, 4, 
, , J7308, 1, J7308, 1, , , , , J8931, 1, 
, , Tug Red, 3, Tug Red, 3, , , , , Cat3676, 1, 
, , , , N2442, , , , , , Q2753, , 
, , , , V9286, 3, , , , , , , 
, , , , Q5696 , 1, , , , , , , 
, , , , Cart 3749, 2, , , , , , , 
, , , , Cart8657 , 2, , , , , , , 
, , , , Q5372 , 1, , , , , , , 
, , , , S9503, 1, , , , , , , 
, , , , N2542, 1, , , , , , , 
, , , , Q4136, 1, , , , , , , 
, , , , Cart3697  , 2, , , , , , , 
, , , , Cart3749, 1, , , , , , , 
, , , , Q3146, , , , , , , , 
, , , , S4573 , 1, , , , , , , 
, , , , S9503, 3, , , , , , , 
, , , , Cart3597, , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
