C1 Movement Identifier 3, Count, C1 Movement Identifier 2, Count, C1 Movement Identifier 1, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 1, Count, C2 Movement Identifier 3, Count, 
anz8542, 1, anz8542, 1, anz8542, 1, tgw3676, 1, tgw3676, 1, tgw3676, 1, 
anz2542, , anz2542, , anz2542, , tgw3673, , tgw3673, , tgw3673, , 
voz9286, 3, voz9286, 3, voz9286, 3, voz6436, 2, voz6436, 2, voz6436, 2, 
voz9486, , voz9486, , voz9486, , anz7362, 2, anz7362, 2, anz7362, 2, 
qlk5696, 1, qlk5696, 1, qlk5696, 1, mas4259, 4, mas4259, 4, mas4259, 4, 
qlk5636, , qlk5636, , qlk5636, , tgw5741, 1, tgw5741, 1, tgw5741, 1, 
tgw3749, 2, tgw3749, 2, tgw3749, 2, tgw9641, , tgw9641, , tgw9641, , 
tgw8637, , tgw8637, , tgw8637, , anz7654, 4, anz7654, 4, anz7654, 4, 
tgw8657, , tgw8657, , tgw8657, , jst8931, 1, jst8931, 1, jst8931, 1, 
qlk5372, 1, qlk5372, 1, qlk5372, 1, jst9531, , jst9531, , jst9531, , 
qlk8372, , qlk8372, , qlk8372, , tgw3676, 1, tgw3676, 1, tgw3676, 1, 
sia9503, 2, sia9503, 2, sia9503, 2, tgw3476, , tgw3476, , tgw3476, , 
anz2542, 1, anz2542, 1, anz2542, 1, qfa2753, , qfa2753, , qfa2753, , 
qfa4136, 1, qfa4136, 1, qfa4136, 1, qfa2752, , qfa2752, , qfa2752, , 
tgw4136, , tgw4136, , tgw4136, , , , cpa6186, 2, cpa6186, 2, 
tgw3697, 2, tgw3697, 2, tgw3697, 2, , , anz8634, 2, anz8634, 2, 
tgw3749, 1, tgw3749, 1, tgw3749, 1, , , anz8624, , anz8624, , 
qfa4136, , qfa4136, , qfa4136, , , , tgw3598, 2, tgw3598, 2, 
qfa4536, , qfa4536, , qfa4536, , , , cpa6186, 1, cpa6186, 1, 
sia4573, 1, sia4573, 1, sia4573, 1, , , tgw3598, 1, tgw3598, 1, 
sia4579, , sia4579, , sia4579, , , , qlk5987, , qlk5987, , 
sia9503, 1, sia9503, 1, sia9503, 1, , , qlk7987, , qlk7987, , 
tgw3697, 1, tgw3697, 1, tgw3697, 1, , , tgw5741, 1, tgw5741, 1, 
tgw3687, , tgw3687, , tgw3687, , , , tgw5841, , tgw5841, , 
sia9503, 2, sia9503, 2, sia9503, 2, , , anz8634, 1, anz8634, 1, 
, , qfa4423, 2, qfa4423, 2, , , tug green, 1, tug green, 1, 
, , anz2981, 4, anz2981, 4, , , anz7654, 1, anz7654, 1, 
, , mas2868, 1, mas2868, 1, , , sia7654, , sia7654, , 
, , qfa2868, , qfa2868, , , , qfa2753, 1, qfa2753, 1, 
, , qfa4423, , qfa4423, , , , qfa6253, , qfa6253, , 
, , qfa5423, , qfa5423, , , , , , voz9124, 1, 
, , mas2868, , mas2868, , , , , , voz9184, , 
, , mas2878, , mas2878, , , , , , voz6436, 1, 
, , jst7308, , jst7308, , , , , , voz6474, , 
, , qfa7308, , qfa7308, , , , , , tgw5741, 1, 
, , anz2542, 2, anz2542, 2, , , , , anz7362, 1, 
, , anz2981, 1, anz2981, 1, , , , , tgw7362, , 
, , tug red, 1, tug red, 1, , , , , cpa5476, 2, 
, , voz9286, 1, voz9286, 1, , , , , tgw3676, 1, 
, , voz9386, , voz9386, , , , , , anz7362, 1, 
, , tgw8657, 3, tgw8657, 3, , , , , qfa9427, 1, 
