C1 Movement Identifier 3, Count, C1 Movement Identifier 2, Count, C1 Movement Identifier 1, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 3, Count, C2 Movement Identifier 1, Count, 
ANZ2542, 3, ANZ2542, 5, ANZ2542, 5, TGA3673, 1, , , , , 
VOZ9286, 4, VOZ9286, 4, VOZ9286, 4, TGA3676, , , , , , 
VOZ9486, , VOZ9486, , VOZ9486, , VOZ6436, 2, , , , , 
QLK5696, 2, QLK5696, 2, QLK5696, 2, ANZ7362, 2, , , , , 
TGA4739, 2, TGA4739, 2, TGA4739, 2, MAA4259, 3, , , , , 
TGA8657, , TGA8657, , TGA8657, , TGA4751, , , , , , 
QLK5372, 1, QLK5372, 1, QLK5372, 1, TGA5741, , , , , , 
QLK8372, , QLK8372, , QLK8372, , TGA9641, , , , , , 
SIA9503, 6, SIA9503, 6, SIA9503, 6, ANZ7654, 4, , , , , 
QFA4136, 1, QFA4136, 1, QFA4136, 1, JST8931, 1, , , , , 
TGA4136, , TGA4136, , TGA4136, , JST9581, , , , , , 
TGA3697, 4, TGA3697, 4, TGA3697, 4, TGA3676, 1, , , , , 
TGA3749, , TGA3749, , TGA3749, , TGA3476, , , , , , 
QFA4536, , QFA4536, , QFA4536, , QFA2753, , , , , , 
SIA4573, 1, SIA4573, 1, SIA4573, 1, QFA2752, , , , , , 
SIA4579, , SIA4579, , SIA4579, , , , , , , , 
, , QFA4423, 3, QFA4423, 3, , , , , , , 
, , ANZ2981, 5, ANZ2981, 5, , , , , , , 
, , TUG, 3, TUG, 3, , , , , , , 
, , MAA2868, 2, MAA2868, 2, , , , , , , 
, , QFA2868, , QFA2868, , , , , , , , 
, , QFA5423, , QFA5423, , , , , , , , 
, , MAA2878, , MAA2878, , , , , , , , 
, , JST7308, , JST7308, , , , , , , , 
, , QFA7308, , QFA7308, , , , , , , , 
, , TUG RED, 2, TUG RED, 5, , , , , , , 
, , VOZ9286, 1, VOZ9286, 1, , , , , , , 
, , VOZ9386, , VOZ9386, , , , , , , , 
, , TGA8657, 3, TGA8657, 3, , , , , , , 
, , TGA3749, 1, TGA3749, 1, , , , , , , 
, , SIA9503, 1, SIA9503, 1, , , , , , , 
, , SIA8503, , SIA8503, , , , , , , , 
, , QFA4136, 1, QFA4136, 1, , , , , , , 
, , QFA4136, , QFA4136, , , , , , , , 
, , CPA4358, 3, CPA4358, 3, , , , , , , 
, , , , QFA8129, 1, , , , , , , 
, , , , QFA8929, 3, , , , , , , 
, , , , QFA6221, , , , , , , , 
, , , , QFA6223, , , , , , , , 
, , , , ETD????, , , , , , , , 
, , , , QLK????, , , , , , , , 
, , , , QFA2904, 2, , , , , , , 
, , , , RXA8187, , , , , , , , 
, , , , RXA8127, , , , , , , , 
, , , , QFA4423, 2, , , , , , , 
, , , , QFA6431, 1, , , , , , , 
, , , , MAA2868, 1, , , , , , , 
, , , , ANZ2868, , , , , , , , 
, , , , UAE7469, 1, , , , , , , 
, , , , RXA6804, 2, , , , , , , 
, , , , UAE7292, , , , , , , , 
, , , , UAE7892, , , , , , , , 
, , , , QLK7166, , , , , , , , 
, , , , QFA2166, , , , , , , , 
, , , , QLK2166, , , , , , , , 
, , , , ANZ9724, 2, , , , , , , 
, , , , JST7308, 1, , , , , , , 
, , , , JST7309, , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
