C1 Movement Identifier 2, Count, C1 Movement Identifier 3, Count, C1 Movement Identifier 1, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 1, Count, C2 Movement Identifier 3, Count, 
qf4423, 3, qf4423, 3, qf4423, 3, GC3676, 4, GC3676, 4, GC3676, 4, 
nz2981, 5, nz2981, 5, nz2981, 5, VA6436, 2, VA6436, 2, VA6436, 2, 
ma2868, 3, ma2868, 3, ma2868, 3, NZ7362, 2, NZ7362, 2, NZ7362, 2, 
qf5423, 1, qf5423, 1, qf5423, 1, MH4259, 3, MH4259, 3, MH4259, 3, 
ma2878, , ma2878, , ma2878, , GC5741, 2, GC5741, 2, GC5741, 2, 
js7378, , js7378, , js7378, , GC9641, , GC9641, , GC9641, , 
qa2308, , qa2308, , qa2308, , NZ7654, 2, NZ7654, 2, NZ7654, 2, 
nz2542, 2, nz2542, 2, nz2542, 2, JS8931, 1, JS8931, 1, JS8931, 1, 
tug red, 1, tug red, 1, tug red, 1, QF2753, , QF2753, , QF2753, , 
va2286, 2, va2286, 2, va2286, 2, QF2752, , QF2752, , QF2752, , 
va9386, , va9386, , va9386, , , , CH6186, 4, CH6186, 4, 
gc8657, 3, gc8657, 3, gc8657, 3, , , NZ8634, 5, NZ8634, 5, 
gc3749, 2, gc3749, 4, gc3749, 4, , , NZ8624, , NZ8624, , 
si8503, 2, si8503, 2, si8503, 2, , , GC3598, 2, GC3598, 2, 
si9503, , si9503, , si9503, , , , QL7987, 1, QL7987, 1, 
qa4139, 2, qa4139, 2, qa4139, 2, , , GC5741, 2, GC5741, 2, 
qa4136, , qa4136, , qa4136, , , , TUG GREEN, , TUG GREEN, , 
ca4158, , ca4158, , ca4158, , , , NZ7654, 1, NZ7654, 1, 
ca4358, 2, ca4358, 2, ca4358, 2, , , SI7654, , SI7654, , 
, , nz2542, 4, nz2542, 4, , , QF2753, 2, QF2753, 2, 
, , va9256, 2, va9256, 2, , , , , VL9124, 1, 
, , va9456, , va9456, , , , , , VL9184, , 
, , ql5656, 1, ql5656, 1, , , , , VL6436, 4, 
, , ql5636, , ql5636, , , , , , VL6474, , 
, , ql5372, 2, ql5372, 2, , , , , GC5741, 1, 
, , si9503, 4, si9503, 4, , , , , NZ7362, 3, 
, , qf4136, 2, qf4136, 2, , , , , GC7362, , 
, , gc4136, , gc4136, , , , , , CH5476, 5, 
, , gc3697, 4, gc3697, 4, , , , , GC3676, , 
, , gc3749, 1, gc3749, 1, , , , , QF9427, 2, 
, , qf4536, , qf4536, , , , , , VL6451, , 
, , si4573, 1, si4573, 1, , , , , , , 
, , , , q8929, 5, , , , , , , 
, , , , qf6221, , , , , , , , 
, , , , qf6223, , , , , , , , 
, , , , et3874, , , , , , , , 
, , , , ql3874, , , , , , , , 
, , , , qf2904, 2, , , , , , , 
, , , , rex8927, 1, , , , , , , 
, , , , qf4423, 2, , , , , , , 
, , , , qf3423, , , , , , , , 
, , , , qf6421, , , , , , , , 
, , , , qf6431, , , , , , , , 
, , , , mh2868, 1, , , , , , , 
, , , , nz2868, , , , , , , , 
, , , , eh2469, 1, , , , , , , 
, , , , eh7469, , , , , , , , 
, , , , rx6804, 1, , , , , , , 
, , , , , , , , , , , , 
, , , , eh7292, 1, , , , , , , 
, , , , eh7892, , , , , , , , 
, , , , ql2166, 3, , , , , , , 
, , , , NZ9724, 2, , , , , , , 
, , , , JS7308, 2, , , , , , , 
, , , , JS7309, , , , , , , , 
, , , , TUG RED, , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
