C1 Movement Identifier 3, Count, C1 Movement Identifier 2, Count, C1 Movement Identifier 1, Count, C2 Movement Identifier 2, Count, C2 Movement Identifier 1, Count, C2 Movement Identifier 3, Count, 
ANZ2542, 3, ANZ2542, 4, ANZ2542, 4, , , , , , , 
VOZ9286, 1, VOZ9286, 1, VOZ9286, 1, , , , , , , 
VOZ9486, , VOZ9486, , VOZ9486, , , , , , , , 
QLK5696, 1, QLK5696, 1, QLK5696, 1, , , , , , , 
QLK5636, , QLK5636, , QLK5636, , , , , , , , 
TGW3749, 2, TGW3749, 2, TGW3749, 2, , , , , , , 
TGW8657, 1, TGW8657, 1, TGW8657, 1, , , , , , , 
QLK5372, 1, QLK5372, 1, QLK5372, 1, , , , , , , 
QLK8372, , QLK8372, , QLK8372, , , , , , , , 
SIA9503, 3, SIA9503, 3, SIA9503, 3, , , , , , , 
QFA4136, , QFA4136, , QFA4136, , , , , , , , 
TGW4136, , TGW4136, , TGW4136, , , , , , , , 
TGW3697, 2, TGW3697, 2, TGW3697, 2, , , , , , , 
TGW3749, 1, TGW3749, 2, TGW3749, 2, , , , , , , 
QFA4536, , QFA4536, , QFA4536, , , , , , , , 
SIA4573, 1, SIA4573, 1, SIA4573, 1, , , , , , , 
SIA4579, , SIA4579, , SIA4579, , , , , , , , 
TGW3687, , TGW3687, , TGW3687, , , , , , , , 
, , QFA4423, 1, QFA4423, 1, , , , , , , 
, , ANZ2981, 4, ANZ2981, 4, , , , , , , 
, , MAS2868, , MAS2868, , , , , , , , 
, , QFA2868, , QFA2868, , , , , , , , 
, , QFA4423, , QFA4423, , , , , , , , 
, , QFA5423, , QFA5423, , , , , , , , 
, , MAS2878, , MAS2878, , , , , , , , 
, , JST7308, , JST7308, , , , , , , , 
, , QFA7308, , QFA7308, , , , , , , , 
, , Tug Red, , Tug Red, 1, , , , , , , 
, , VOZ9286, 1, VOZ9286, 1, , , , , , , 
, , VOZ9386, , VOZ9386, , , , , , , , 
, , TGW8657, 3, TGW8657, 3, , , , , , , 
, , SIA9503, , SIA9503, , , , , , , , 
, , SIA9403, , SIA9403, , , , , , , , 
, , QFA4136, , QFA4136, , , , , , , , 
, , QFA4139, , QFA4139, , , , , , , , 
, , CX4358, 3, CX4358, 3, , , , , , , 
, , , , QFA8929, 1, , , , , , , 
, , , , QFA6221, , , , , , , , 
, , , , QFA6223, , , , , , , , 
, , , , ETD3874, , , , , , , , 
, , , , QLK3874, , , , , , , , 
, , , , QFA2904, 1, , , , , , , 
, , , , RXA8187, , , , , , , , 
, , , , RXA8127, , , , , , , , 
, , , , QFA8929, 1, , , , , , , 
, , , , QFA4423, 1, , , , , , , 
, , , , QFA3423, , , , , , , , 
, , , , QFA6431, 1, , , , , , , 
, , , , MAS2868, , , , , , , , 
, , , , ANZ2868, , , , , , , , 
, , , , EK7469, , , , , , , , 
, , , , RXA6804, 1, , , , , , , 
, , , , QLK7166, , , , , , , , 
, , , , QFA2166, , , , , , , , 
, , , , ANZ9724, 1, , , , , , , 
, , , , JST7308, 1, , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
, , , , , , , , , , , , 
